"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model","rmse_constraint_model","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2014-10","salesforce",44,1114,0.502829376177973,0.0459259844614867,0.0186373826257814,0.026722269529196
"monthly","2014-10","salesforce",45,1114,0.507753511969998,0.0456768304652057,0.0185534196653924,0.0266965646089317
"monthly","2014-10","salesforce",46,1114,0.512561524193925,0.045386399915877,0.0184187069334576,0.0266422017284196
"monthly","2014-10","salesforce",47,1114,0.517253606769205,0.0450485728383082,0.0182254792955486,0.0265593291675484
"monthly","2014-10","salesforce",48,1114,0.521868619212917,0.0447211355823136,0.0180401441931757,0.0264782892457216
"monthly","2014-10","salesforce",49,1114,0.526370640030613,0.0443754492128183,0.0178709070359938,0.0263698389876119
"monthly","2014-10","salesforce",50,1114,0.53078763471456,0.044006098076946,0.0176342454447474,0.026235490706551
"monthly","2014-11","salesforce",2,1089,0.0867959639698288,0.0176780199070584,0.0171952687198257,0.0153692632925359
"monthly","2014-11","salesforce",3,1089,0.107197868226606,0.0204095283786474,0.0180709847362189,0.0158490509320318
"monthly","2014-11","salesforce",4,1089,0.127060793991034,0.0224881891093798,0.0184662847696447,0.0159446498464385
"monthly","2014-11","salesforce",5,1089,0.146785835764533,0.0254537210888558,0.0190681992511767,0.0172070728808901
"monthly","2014-11","salesforce",6,1089,0.165529682622945,0.0282231665698471,0.019162040218273,0.0185857961645028
"monthly","2014-11","salesforce",7,1089,0.183023388998333,0.0306242606106177,0.0190598861139406,0.0197516786061467
"monthly","2014-11","salesforce",8,1089,0.199329741783466,0.0328071398991089,0.0194043488621379,0.0207232906102
"monthly","2014-11","salesforce",9,1089,0.214838385949565,0.0347844476522464,0.0193120818676563,0.0216946925533156
"monthly","2014-11","salesforce",10,1089,0.229379212105372,0.0364268472721445,0.0191183055676455,0.0224597530870737
"monthly","2014-11","salesforce",11,1089,0.242543969005091,0.0374702298634739,0.0193559469813776,0.0225756002846873
"monthly","2014-11","salesforce",12,1089,0.255088899601668,0.0385111469674682,0.019803130486168,0.022796743601542
"monthly","2014-11","salesforce",13,1089,0.267280959745239,0.0396315861344438,0.0202140459969016,0.0232547917396203
