"","b","X","N"
"b159",-0.638241889190216,14,924
"b160",-0.634342374242914,15,924
"b161",-0.630638910778078,16,924
"b162",-0.627069653083481,17,924
"b163",-0.623754117096112,18,924
"b164",-0.620537792853049,19,924
"b165",-0.617462216475698,20,924
"b166",-0.614474048950019,21,924
"b167",-0.611528240268469,22,924
"b168",-0.60863299940646,23,924
"b169",-0.60587600518287,24,924
"b170",-0.603271485293401,25,924
"b171",-0.60073085195298,26,924
"b172",-0.598218982848633,27,924
"b173",-0.595756955735037,28,924
"b174",-0.593430666771713,29,924
"b175",-0.591141829576239,30,924
"b176",-0.58904903683273,31,924
"b177",-0.586918831120744,32,924
"b178",-0.584902765297256,33,924
"b179",-0.582854596717096,34,924
"b180",-0.580755518207697,35,924
"b181",-0.578701651908853,36,924
"b182",-0.576608012849389,37,924
"b183",-0.574535790808886,38,924
"b184",-0.572439377866007,39,924
"b185",-0.570354240822633,40,924
"b186",-0.568264230485918,41,924
"b187",-0.566074415873828,42,924
"b188",-0.564032395812189,43,924
"b189",-0.562042971983463,44,924
"b190",-0.560079762901401,45,924
"b191",-0.558135225795873,46,924
"b192",-0.556159411392088,47,924
"b193",-0.554129743503732,48,924
"b194",-0.552127492338062,49,924
"b195",-0.550129751626793,50,924
"b196",-0.766187291721474,2,897
"b197",-0.746632524518894,3,897
"b198",-0.731492009678228,4,897
"b199",-0.721151562481925,5,897
"b200",-0.71403399017549,6,897
"b201",-0.708494624168414,7,897
"b202",-0.703374860577841,8,897
"b203",-0.698723462571725,9,897
"b204",-0.694589135029682,10,897
"b205",-0.690767750924575,11,897
"b206",-0.687185947213802,12,897
"b207",-0.683750448220679,13,897
"b208",-0.680437680592557,14,897
"b209",-0.67738452219663,15,897
"b210",-0.674502625814842,16,897
"b211",-0.671776524094695,17,897
"b212",-0.66905042466222,18,897
"b213",-0.666357611779524,19,897
"b214",-0.663739228932158,20,897
"b215",-0.661111756800309,21,897
"b216",-0.658647089683682,22,897
"b217",-0.656260992261281,23,897
"b218",-0.653859908299136,24,897
"b219",-0.651460436744548,25,897
"b220",-0.649109500372986,26,897
"b221",-0.646742379400139,27,897
"b222",-0.644512321053619,28,897
"b223",-0.642213990915566,29,897
"b224",-0.639996836082236,30,897
"b225",-0.637771653456386,31,897
"b226",-0.635564362973939,32,897
"b227",-0.633467717350752,33,897
"b228",-0.631283226163044,34,897
"b229",-0.62908307211204,35,897
"b230",-0.626948033350487,36,897
"b231",-0.624780830324606,37,897
"b232",-0.622708673945482,38,897
"b233",-0.620588966751156,39,897
"b234",-0.618448483043602,40,897
"b235",-0.616383081421133,41,897
"b236",-0.614337443798772,42,897
"b237",-0.612400098264611,43,897
"b238",-0.610450691808313,44,897
"b239",-0.608547019345449,45,897
"b240",-0.606611052452502,46,897
"b241",-0.604774035236496,47,897
"b242",-0.602914369144277,48,897
"b243",-0.600925187090967,49,897
"b244",-0.598968277882057,50,897
"b245",-0.776561427665639,2,849
"b246",-0.752396614300328,3,849
"b247",-0.735834935061239,4,849
"b248",-0.723837783503103,5,849
"b249",-0.71416487180284,6,849
"b250",-0.706291639156827,7,849
"b251",-0.699546183962077,8,849
"b252",-0.693127252726139,9,849
"b253",-0.686817944511342,10,849
"b254",-0.681236271430954,11,849
"b255",-0.676141674532065,12,849
"b256",-0.671277820663475,13,849
"b257",-0.666865575457175,14,849
"b258",-0.662839364252701,15,849
"b259",-0.6590157736442,16,849
