"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model_simple","rmse_constraint_model_simple","rmse_flex_model_complex","rmse_constraint_model_complex","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2014-11","salesforce",32,1089,0.224286599703664,0.0180515711625729,0.22209624550357,0.018391808850808,0.0232361448774614,0.0178616654266174
"monthly","2014-11","salesforce",33,1089,0.227833521776299,0.0182104383791424,0.225797611275027,0.0185109114466828,0.0234093421007765,0.017974222749401
"monthly","2014-11","salesforce",34,1089,0.231320783032807,0.0183795628302812,0.229447471474191,0.0186313290982384,0.0235847176025259,0.0180918008139998
"monthly","2014-11","salesforce",35,1089,0.234745344582766,0.0185766814634158,0.233042644038951,0.0187709887287017,0.0237847491150792,0.0182315317403303
"monthly","2014-11","salesforce",36,1089,0.238103882998966,0.0187742779603742,0.236579634380324,0.0189025775126987,0.0239741750623705,0.0183659720693907
"monthly","2014-11","salesforce",37,1089,0.241372485664071,0.0189662079816435,0.240034414284671,0.0190202124324971,0.0241467184679463,0.0184850163814558
"monthly","2014-11","salesforce",38,1089,0.244592632481492,0.0191806407116934,0.243448467119074,0.0191512825680909,0.0243213888194455,0.0186208888407525
"monthly","2014-11","salesforce",39,1089,0.247744779208411,0.0193941166227409,0.246802136067203,0.0192724387279031,0.0244803484102498,0.0187480996212466
"monthly","2014-11","salesforce",40,1089,0.250838022516411,0.019617760814083,0.250104507570655,0.0193947514707559,0.0246292391545115,0.0188781421328683
"monthly","2014-11","salesforce",41,1089,0.253889356515287,0.0198572805684199,0.253372615724043,0.01952389636887,0.0247761792006902,0.0190162318509663
"monthly","2014-11","salesforce",42,1089,0.256863707345728,0.0200890864556842,0.256571302179596,0.0196347596552365,0.0248892025201431,0.0191338896849076
"monthly","2014-11","salesforce",43,1089,0.259774042595415,0.0203236914839705,0.259713574985984,0.0197371512627126,0.0249770015732514,0.0192414877899405
"monthly","2014-11","salesforce",44,1089,0.262651717671103,0.0205605996820365,0.262830847229265,0.0198313925533294,0.0250505022441975,0.0193423760815535
"monthly","2014-11","salesforce",45,1089,0.265473963530928,0.020803040479025,0.265900318621162,0.0199201406366232,0.0251009438666338,0.0194382381427481
"monthly","2014-11","salesforce",46,1089,0.268221074823991,0.0210483787509384,0.268902321277271,0.0199975696503002,0.0251280589377981,0.0195195287986145
"monthly","2014-11","salesforce",47,1089,0.270888311369837,0.0212946756043008,0.271832170668703,0.0200589724067839,0.0251350381308661,0.0195801103260585
"monthly","2014-11","salesforce",48,1089,0.273510120936831,0.0215559652879373,0.274724372567754,0.0201229008321779,0.0251426049465305,0.0196444528513267
"monthly","2014-11","salesforce",49,1089,0.276091513397052,0.0218275582735635,0.277584015208843,0.0201840659847123,0.0251494574998447,0.0197067459383092
"monthly","2014-11","salesforce",50,1089,0.278632436557289,0.0221086039424399,0.280411136831054,0.0202389773041196,0.0251449950084182,0.0197613720849952
"monthly","2014-12","salesforce",2,1071,0.0450622423352212,0.00668836833690636,0.0584005378357341,0.00534063199371036,0.0130145240218988,0.00526790039081553
"monthly","2014-12","salesforce",3,1071,0.0539428421747426,0.00735154507148485,0.0610393984554789,0.00657255777813948,0.0132881951776836,0.00653155346622154
"monthly","2014-12","salesforce",4,1071,0.0649759443443096,0.0089235460474114,0.0688400560597438,0.00861694266815755,0.0151737258770844,0.00858256709532228
"monthly","2014-12","salesforce",5,1071,0.0748109304348909,0.00980488477138242,0.076693602759681,0.00964043331199423,0.0161301545356297,0.00962730336020798
"monthly","2014-12","salesforce",6,1071,0.0839636013281845,0.0106268144084385,0.0845076868624082,0.0105448404986964,0.0168889364915746,0.0105421356460457
"monthly","2014-12","salesforce",7,1071,0.0931635843294664,0.0117853214713258,0.0927531974921113,0.0117595723693918,0.0179669637525434,0.0117592733418367
"monthly","2014-12","salesforce",8,1071,0.101437407772426,0.0126555975538674,0.1003175199183,0.0126510313094102,0.018718201864022,0.0126502217460388
"monthly","2014-12","salesforce",9,1071,0.109140160090912,0.0132461675462422,0.10748006868921,0.0132520157503661,0.019271839646411,0.0132460812842908
"monthly","2014-12","salesforce",10,1071,0.116500040897491,0.0138134669343961,0.114423028561202,0.0138274143288493,0.019828164528084,0.0138119310204763
"monthly","2014-12","salesforce",11,1071,0.123500717997988,0.0142707031014761,0.121099055115093,0.0142952068068561,0.0202574792035191,0.0142653851555343
