"dt_partition","time_frame","dataset_name","X","N","rmse_flex_model_simple","rmse_constraint_model_simple","rmse_flex_model_complex","rmse_constraint_model_complex","rmse_tailored_flex_lm","rmse_tailored_constr_lm"
"monthly","2013-2-","dba",6,632,0.153083579484508,0.0127552605012441,0.152872760611124,0.0120119459231645,0.0146936175900333,0.011831661299277
"monthly","2013-2-","dba",7,632,0.171211464241748,0.0137266063807557,0.169913122333506,0.0134637764989682,0.0159800449436796,0.013352377523605
"monthly","2013-2-","dba",8,632,0.188033207343795,0.0147805068637524,0.186001755369835,0.0147395156672828,0.0171918760704047,0.0146694526429344
"monthly","2013-2-","dba",9,632,0.203770488390548,0.0159184981811497,0.201238391369628,0.0159508513364236,0.0182794123514507,0.0159062869728595
"monthly","2013-2-","dba",10,632,0.218892684684904,0.0170342080137764,0.216019641759359,0.0170538481744168,0.0187272064331098,0.017028295913463
"monthly","2013-2-","dba",11,632,0.233050701770742,0.0179276707043415,0.229950924946181,0.0178987350636496,0.0189944994805798,0.0178812413951424
"monthly","2013-2-","dba",12,632,0.24607233301232,0.0186492214180665,0.242830298744009,0.0185521464519285,0.0198556780059645,0.0185403174439792
"monthly","2013-2-","dba",13,632,0.25911323559676,0.0196636427129712,0.255792623065093,0.0194841840194648,0.0200862254332112,0.0194782410477158
"monthly","2013-2-","dba",14,632,0.271502235658169,0.020553805518022,0.268152348216169,0.0203097998052387,0.0201121465063127,0.0203057504163472
"monthly","2013-2-","dba",15,632,0.283345760500261,0.0212552144527008,0.280005394192186,0.0209561447740815,0.0198741995115763,0.0209531568891138
"monthly","2013-2-","dba",16,632,0.294632723440007,0.0218485052685152,0.291333087428177,0.0215107634600753,0.0196012120781234,0.0215079874762069
"monthly","2013-2-","dba",17,632,0.305284783952009,0.0222958181001272,0.302051306768814,0.021932648737314,0.0195587151659511,0.0219296672741476
"monthly","2013-2-","dba",18,632,0.315462549596925,0.0227005473539499,0.31231625920302,0.0223266968940494,0.0195728578569479,0.0223230969008749
"monthly","2013-2-","dba",19,632,0.325104846987231,0.0229652736714842,0.322063298859994,0.0225971497441538,0.0197296665825181,0.022592008393437
"monthly","2013-2-","dba",20,632,0.334344132196196,0.0232381317992629,0.331422240386798,0.0228675846208858,0.0201960048097669,0.0228626152500788
"monthly","2013-2-","dba",21,632,0.343451195396875,0.0236308714451379,0.340661786095172,0.0232611939577333,0.0205481786349702,0.0232570999410944
"monthly","2013-2-","dba",22,632,0.35245828249739,0.0241469634429012,0.349812493976499,0.0237738378556344,0.0208115565204648,0.0237716268046421
"monthly","2013-2-","dba",23,632,0.361189881434614,0.0246474563130262,0.358697464741753,0.0242814427344485,0.0210434965200626,0.0242803555708029
"monthly","2013-2-","dba",24,632,0.369621564118681,0.0250126930886116,0.36729113241419,0.0246666466181247,0.0211032343779419,0.0246659641372809
"monthly","2013-2-","dba",25,632,0.377796075862335,0.0252773409517569,0.37563537881783,0.0249623617833166,0.0209646649892265,0.0249616873498075
"monthly","2013-2-","dba",26,632,0.385688750721713,0.0254296032061944,0.383704802929501,0.0251505607396481,0.0207192599899572,0.0251497350335075
"monthly","2013-2-","dba",27,632,0.393470317383919,0.0256469592238631,0.391669585860854,0.0253980218330029,0.0204509074316482,0.025397458504263
"monthly","2013-2-","dba",28,632,0.40101448102534,0.025881104343345,0.399402907984805,0.0256582765950718,0.0203462973509041,0.0256581090928638
"monthly","2013-2-","dba",29,632,0.40845800940217,0.0261066021203656,0.407041149819574,0.0259077239794099,0.0200534331723474,0.0259077206356939
"monthly","2013-2-","dba",30,632,0.415535604056752,0.0261652681765519,0.414318629882354,0.0259972175668686,0.0197829946042844,0.0259971465595642
"monthly","2013-2-","dba",31,632,0.42251183521228,0.0262940705276463,0.421499703250821,0.0261529872575261,0.0195414668779076,0.0261525742701282
"monthly","2013-2-","dba",32,632,0.429245708252056,0.0263668511635348,0.428443105943241,0.026251761497533,0.019393900842836,0.0262506835146297
"monthly","2013-2-","dba",33,632,0.435844327375541,0.0264031114256016,0.435255778426122,0.0263110940272117,0.0191768486763272,0.0263086682803653
"monthly","2013-2-","dba",34,632,0.442282252025703,0.0264909169268618,0.44191214169042,0.026422328427308,0.0190497287012325,0.0264182633548829
"monthly","2013-2-","dba",35,632,0.448493305652601,0.0265493746264971,0.448345871380389,0.0265035312566962,0.019027243118126,0.0264978780268813
"monthly","2013-2-","dba",36,632,0.454564703263762,0.0265657262629704,0.45464411212075,0.0265403472272359,0.0189011233039859,0.0265332731012478
"monthly","2013-2-","dba",37,632,0.460517430153187,0.0265391752437415,0.460827776171549,0.0265304844896564,0.018638266016789,0.0265218544520421
"monthly","2013-2-","dba",38,632,0.466290728338808,0.0264638047042982,0.466836035276677,0.0264673986223886,0.0183513497419454,0.026457618578358
"monthly","2013-2-","dba",39,632,0.471863161261523,0.0263351072675005,0.472647412799319,0.0263445347011268,0.0180458061260577,0.026334788055254
"monthly","2013-2-","dba",40,632,0.47731424584111,0.0261805255394973,0.478341400139553,0.0261888347564436,0.0177040382184462,0.0261787157286814
"monthly","2013-2-","dba",41,632,0.482581171426745,0.0259606769851875,0.48385516525377,0.0259589755248827,0.0173600760728486,0.0259490739220726
"monthly","2013-2-","dba",42,632,0.48770638359092,0.0258122269363551,0.489231130511176,0.0257914984095972,0.0172157101170452,0.0257818424840986
"monthly","2013-2-","dba",43,632,0.492762367004071,0.0256628915069362,0.494541809288237,0.025616742163309,0.0170244854843353,0.0256064111408381
"monthly","2013-2-","dba",44,632,0.497657228499542,0.0255028570077856,0.49969529731528,0.0254215308564366,0.0169187917570648,0.0254107377686991
"monthly","2013-2-","dba",45,632,0.502500951713599,0.0253882643598105,0.504801627332361,0.0252617714135729,0.0167221667535514,0.0252506640731832
"monthly","2013-2-","dba",46,632,0.507202317576022,0.0252580517409914,0.509769578289207,0.0250747100746033,0.016554823265706,0.0250635768502631
"monthly","2013-2-","dba",47,632,0.511831350585739,0.0251651457241754,0.514669221799077,0.0249115411993987,0.0163232658506832,0.0249008866300755
"monthly","2013-2-","dba",48,632,0.516280421508008,0.0250482835351081,0.519392930177453,0.0247087960492164,0.0162049518964256,0.0246991146228307
"monthly","2013-2-","dba",49,632,0.520635826014435,0.0249288422170257,0.524027054783899,0.0244940143620523,0.016097849796996,0.024484815860691
"monthly","2013-2-","dba",50,632,0.524978101769795,0.0248598132204405,0.52865218074986,0.0243286907709486,0.0159661000080097,0.0243187642507552
"monthly","2013-3-","dba",2,785,0.0764729125829885,0.0115165822458638,0.0936499613722439,0.00905318302417887,0.0180747716788075,0.00881164290557104
"monthly","2013-3-","dba",3,785,0.100318909535177,0.013015577474694,0.10819831431964,0.0128365653861076,0.0213601779353557,0.0123505030676624
"monthly","2013-3-","dba",4,785,0.124005311539232,0.0155217790682007,0.127610063907922,0.016110576358161,0.022897060348471,0.0154670345496351
"monthly","2013-3-","dba",5,785,0.144644628958798,0.0171404436960999,0.145904544534792,0.0177495811445919,0.023530298810234,0.0171345177260398
"monthly","2013-3-","dba",6,785,0.163560600816595,0.0182962929812607,0.163413368228892,0.0187979936029808,0.0242967001026844,0.0181840082468637
"monthly","2013-3-","dba",7,785,0.181184395417872,0.0197553542607392,0.180151893039256,0.0200651690194531,0.0252951323012111,0.0194554749436462
"monthly","2013-3-","dba",8,785,0.197685739199558,0.0211745316535196,0.196085924426129,0.0212623834300592,0.0263941064583083,0.0206397956922769
"monthly","2013-3-","dba",9,785,0.213401817013417,0.0228516092333935,0.211440395156939,0.0227092926231303,0.02741916272625,0.0220746117005382
"monthly","2013-3-","dba",10,785,0.228498648790928,0.0244129968433243,0.226314962223831,0.0240496534172978,0.0279130001438726,0.0233943894934349
"monthly","2013-3-","dba",11,785,0.242846248941438,0.025748102802839,0.240538974278491,0.0251892069055131,0.0278331343095718,0.0245385597193747
"monthly","2013-3-","dba",12,785,0.256489274748037,0.0269437196435427,0.254131276351266,0.0262110817060326,0.027708845448028,0.0255564194274432
"monthly","2013-3-","dba",13,785,0.269044802767605,0.0276321521551391,0.266691040741644,0.0267617812946224,0.0275161113996928,0.0261373298509925
"monthly","2013-3-","dba",14,785,0.281044942603769,0.028375664908124,0.278737270026341,0.0274031796828168,0.0274755464786321,0.0268160561003204
"monthly","2013-3-","dba",15,785,0.292576996925075,0.0290864985424833,0.29034812151114,0.0280338058974439,0.0274125607000204,0.0274731690222427
"monthly","2013-3-","dba",16,785,0.303510421665005,0.029561611103221,0.301386394608849,0.0284534500729118,0.0272105485909672,0.0279241121210443
"monthly","2013-3-","dba",17,785,0.314156199711252,0.0300301570639382,0.312157847733971,0.028884272678633,0.0268095502410679,0.0283776664703198
"monthly","2013-3-","dba",18,785,0.324049846088311,0.0302141770437392,0.32219505694789,0.029043920986405,0.0267854671404882,0.0285583083169057
"monthly","2013-3-","dba",19,785,0.333782690816234,0.0305898489557129,0.332085628452317,0.0294173466302056,0.0267629605687945,0.0289501249800588
"monthly","2013-3-","dba",20,785,0.343348384029513,0.0309811572342707,0.341820871195777,0.0298277019768901,0.0264011241707193,0.029382725338627
"monthly","2013-3-","dba",21,785,0.352639634589781,0.0313674453962803,0.351292064269247,0.0302488255323045,0.0259565932386384,0.0298265876706295
"monthly","2013-3-","dba",22,785,0.36143205352895,0.0315445477839083,0.36027367382122,0.0304738075555407,0.0255818155636496,0.0300791076722887
"monthly","2013-3-","dba",23,785,0.369779566904409,0.0316022596021891,0.368818528157841,0.0305896932000785,0.0253954093540825,0.030223681168776
"monthly","2013-3-","dba",24,785,0.377945325271443,0.0316870988609798,0.377188659828937,0.0307381094827661,0.025146279589383,0.0303952898637562
"monthly","2013-3-","dba",25,785,0.385925763128128,0.0318098711255054,0.3853798401818,0.0309284647907372,0.0249222012285398,0.0306038186999983
"monthly","2013-3-","dba",26,785,0.393726110518947,0.0319423660227285,0.393396758484785,0.0311284604534774,0.0246805473008539,0.0308148365108406
